Column1,latitude,longitude,location
145,34.159184,-84.08653,"Talmon Court,  Georgia, 30041"
146,34.16103,-84.074496,"Lake Sydney Lanier, Powerhouse Road, Lake Forest,  Georgia, 30041"
147,34.161031,-84.074499,"Lake Sydney Lanier, Powerhouse Road, Lake Forest,  Georgia, 30041"
148,34.161034,-84.07451399999999,"Lake Sydney Lanier, Powerhouse Road, Lake Forest,  Georgia, 30041"
149,34.161048,-84.074574,"Lake Sydney Lanier, Powerhouse Road, Lake Forest,  Georgia, 30041"
150,34.161062,-84.074831,"Lake Sydney Lanier, Powerhouse Road, Lake Forest,  Georgia, 30041"
151,33.895223,-84.312926,"Keswick Drive, Chamblee,  Georgia, 30341"
152,34.160958,-84.07593300000001,"Powerhouse Road, Lake Forest,  Georgia, 30041"
153,34.16051,-84.080347,"Sweetwater Drive,  Georgia, 30041"
154,33.89512,-84.31280599999999,"Keswick Drive, Chamblee,  Georgia, 30341"
155,34.159706,-84.08647499999999,"Talmon Court,  Georgia, 30041"
156,34.159407,-84.086479,"Talmon Court,  Georgia, 30041"
157,34.164664,-84.09021300000001,"Princeton Trace,  Georgia, 30041"
158,34.16251,-84.088774,"New Columbia Court,  Georgia, 30041"
159,33.895065,-84.312211,"Sexton Woods Drive, Chamblee,  Georgia, 30341"
160,34.159357,-84.08666700000001,"Talmon Court,  Georgia, 30041"
161,34.159154,-84.08652600000001,"Talmon Court,  Georgia, 30041"
162,33.895024,-84.312854,"Keswick Drive, Chamblee,  Georgia, 30341"
163,34.162867,-84.081433,"Birchwood Court,  Georgia, 30041"
164,34.16287,-84.08143699999999,"Birchwood Court,  Georgia, 30041"
165,34.162874,-84.081441,"Birchwood Court,  Georgia, 30041"
166,34.162878,-84.08144799999999,"Birchwood Court,  Georgia, 30041"
167,34.162882,-84.081461,"Birchwood Court,  Georgia, 30041"
168,34.162884,-84.081502,"Birchwood Court,  Georgia, 30041"
169,34.162879,-84.081637,"Birchwood Court,  Georgia, 30041"
170,34.162851,-84.082088,"Birchwood Court,  Georgia, 30041"
171,34.162746,-84.08360500000001,"Birchwood Court,  Georgia, 30041"
172,34.162387,-84.08868099999999,"New Columbia Court,  Georgia, 30041"
173,34.159325,-84.086623,"Talmon Court,  Georgia, 30041"
174,34.15928,-84.08659299999999,"Talmon Court,  Georgia, 30041"
175,34.165266,-84.090616,"Princeton Trace,  Georgia, 30041"
176,33.895182,-84.313273,"Keswick Drive, Chamblee,  Georgia, 30341"
177,34.165267,-84.090616,"Princeton Trace,  Georgia, 30041"
178,34.165269,-84.09061699999999,"Princeton Trace,  Georgia, 30041"
179,33.895027,-84.312916,"Keswick Drive, Chamblee,  Georgia, 30341"
180,34.16527,-84.09061800000001,"Princeton Trace,  Georgia, 30041"
181,34.165271,-84.090619,"Princeton Trace,  Georgia, 30041"
182,34.165265,-84.090615,"Princeton Trace,  Georgia, 30041"
183,34.165233,-84.090594,"Princeton Trace,  Georgia, 30041"
184,34.165097,-84.090503,"Princeton Trace,  Georgia, 30041"
185,34.164544,-84.09013400000001,"Princeton Trace,  Georgia, 30041"
186,34.162321,-84.088651,"New Columbia Court,  Georgia, 30041"
187,34.159277,-84.086619,"Talmon Court,  Georgia, 30041"
188,34.159251,-84.086602,"Talmon Court,  Georgia, 30041"
189,33.895004,-84.312963,"Keswick Drive, Chamblee,  Georgia, 30341"
190,34.159244,-84.08654799999999,"Talmon Court,  Georgia, 30041"
191,33.894992,-84.31301499999999,"Keswick Drive, Chamblee,  Georgia, 30341"
192,34.165259,-84.090611,"Princeton Trace,  Georgia, 30041"
193,33.895034,-84.312921,"Keswick Drive, Chamblee,  Georgia, 30341"
194,34.165261,-84.09061199999999,"Princeton Trace,  Georgia, 30041"
195,34.165232,-84.090593,"Princeton Trace,  Georgia, 30041"
196,34.165096,-84.090501,"Princeton Trace,  Georgia, 30041"
197,34.164542,-84.090126,"Princeton Trace,  Georgia, 30041"
198,34.162316,-84.088621,"New Columbia Court,  Georgia, 30041"
199,34.159269,-84.086561,"Talmon Court,  Georgia, 30041"
200,34.159244,-84.086544,"Talmon Court,  Georgia, 30041"
201,34.159208,-84.08651,"Talmon Court,  Georgia, 30041"
202,34.159204,-84.086456,"Talmon Court,  Georgia, 30041"
203,34.157568,-84.08622200000001,"Summerwood Drive,  Georgia, 30041"
204,33.894865,-84.312904,"Keswick Drive, Chamblee,  Georgia, 30341"
205,34.157563,-84.08621100000001,"Summerwood Drive,  Georgia, 30041"
206,33.895459,-84.313185,"Keswick Drive, Chamblee,  Georgia, 30341"
207,34.157545,-84.08617,"Summerwood Drive,  Georgia, 30041"
208,34.157479,-84.086023,"Summerwood Drive,  Georgia, 30041"
209,34.157242,-84.085497,"Summerwood Drive,  Georgia, 30041"
210,34.156392,-84.083609,"Little Mill Road,  Georgia, 30041"
211,34.153339,-84.076826,"Powerhouse Road, Lake Forest,  Georgia, 30041"
212,34.153164,-84.07687900000001,"Powerhouse Road, Lake Forest,  Georgia, 30041"
213,34.152627,-84.07704200000001,"Powerhouse Road, Lake Forest,  Georgia, 30041"
214,34.150983,-84.07754,"Powerhouse Road, Lake Forest,  Georgia, 30041"
215,34.150863,-84.07757599999999,"Pass Road, Lake Forest,  Georgia, 30518"
216,34.153394,-84.076809,"Powerhouse Road, Lake Forest,  Georgia, 30041"
217,34.153332,-84.07682800000001,"Powerhouse Road, Lake Forest,  Georgia, 30041"
218,34.153143,-84.076885,"Powerhouse Road, Lake Forest,  Georgia, 30041"
219,34.152564,-84.077061,"Powerhouse Road, Lake Forest,  Georgia, 30041"
220,34.150791,-84.07759799999999,"Pass Road, Lake Forest,  Georgia, 30518"
221,33.895021,-84.31268799999999,"Keswick Drive, Chamblee,  Georgia, 30341"
222,34.145678,-84.079148,"Island Ford Road Northeast, Sugar Hill,  Georgia, 30041"
223,34.161017,-84.074496,"Lake Sydney Lanier, Powerhouse Road, Lake Forest,  Georgia, 30041"
224,34.148595,-84.0763,"Island Ford Road, Lake Forest,  Georgia, 30041"
225,34.1482,-84.076577,"Island Ford Road, Lake Forest,  Georgia, 30041"
226,34.146412,-84.077836,"Island Ford Road, Lake Forest,  Georgia, 30041"
227,34.138293,-84.08355299999999,"Grand Magnolia Drive, Sugar Hill,  Georgia"
228,33.894967,-84.31342100000001,"Keswick Drive, Chamblee,  Georgia, 30341"
229,34.159291,-84.08650799999999,"Talmon Court,  Georgia, 30041"
230,34.153336,-84.094007,"River Club Drive,  Georgia, 30041"
231,34.157924,-84.118484,"Trammel Road,  Georgia, 30041"
232,34.091932,-84.248161,"Windward Parkway, Alpharetta,  Georgia, 30005"
233,33.98415,-84.337461,"Huntingdon Trail, Sandy Springs,  Georgia, 30350"
234,33.979635,-84.340712,"Roberts Drive, Sandy Springs,  Georgia, 30350"
235,33.77126,-84.396062,"Hampton Inn Atlanta-Georgia Tech Downtown, 264, North Avenue Northwest, Bellwood, Atlanta,  Georgia, 30313"
236,33.895167,-84.313326,"Keswick Drive, Chamblee,  Georgia, 30341"
237,33.767849,-84.396584,"310, North Avenue Northwest, Bellwood, Atlanta,  Georgia, 30313"
238,33.764387,-84.396697,"362, Luckie Street Northwest, Five Points, Atlanta,  Georgia, 30313"
239,33.895093,-84.31314999999999,"Keswick Drive, Chamblee,  Georgia, 30341"
240,33.895229,-84.313267,"Cold Spring Lane, Chamblee,  Georgia, 30341"
241,33.894979,-84.31317199999999,"Keswick Drive, Chamblee,  Georgia, 30341"
242,33.894988,-84.31318,"Keswick Drive, Chamblee,  Georgia, 30341"
243,33.891354,-84.31006499999999,"Peachtree Industrial Boulevard, Chamblee,  Georgia, 30341"
244,33.894997,-84.31299799999999,"Keswick Drive, Chamblee,  Georgia, 30341"
245,33.895235,-84.31313,"Keswick Drive, Chamblee,  Georgia, 30341"
246,33.89522,-84.313079,"Keswick Drive, Chamblee,  Georgia, 30341"
247,33.758748,-84.402528,"127, Northside Drive Northwest, Five Points, Atlanta,  Georgia, 30327"
248,33.764229,-84.397086,"344, Luckie Street Northwest, Five Points, Atlanta,  Georgia, 30313"
249,33.767685,-84.39662800000001,"282, Pine Street Northwest, Five Points, Atlanta,  Georgia, 30313"
250,33.774017,-84.392892,"713, Brittain Drive Northwest, Bellwood, Atlanta,  Georgia, 30313"
251,33.894756,-84.31245199999999,"Sexton Woods Drive, Chamblee,  Georgia, 30341"
252,33.777289,-84.39364999999999,"ZTA, 189, 5th Street Northwest, Bellwood, Atlanta,  Georgia, 30313"
253,33.789951,-84.37545299999999,"25, South Prado Northeast, Atlanta,  Georgia, 30309"
254,33.806129,-84.366941,"Grindhouse Killer Burgers, 1842, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30324"
255,33.806142,-84.36710600000001,"Grindhouse Killer Burgers, 1842, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30324"
256,33.806285,-84.367059,"1856, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30324"
257,33.806809,-84.36722899999999,"1858, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30324"
258,33.806361,-84.36701600000001,"1856, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30324"
259,33.895149,-84.31292000000001,"Keswick Drive, Chamblee,  Georgia, 30341"
260,33.781812,-84.383842,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
261,33.767963,-84.391908,"503, Centennial Olympic Park Drive Northwest, Five Points, Atlanta,  Georgia, 30313"
262,33.767923,-84.391974,"490, Centennial Olympic Park Drive Northwest, Five Points, Atlanta,  Georgia, 30313"
263,33.768072,-84.39823800000001,"Marietta Street, Five Points, Atlanta,  Georgia, 30318"
264,33.769628,-84.39739,"Plum Street Northwest, Five Points, Atlanta,  Georgia, 30313"
265,33.766667,-84.391313,"129, Hunnicutt Street Northwest, Five Points, Atlanta,  Georgia, 30313"
266,33.770174,-84.397341,"Plum Street Northwest, Five Points, Atlanta,  Georgia, 30313"
267,33.770216,-84.39738,"Plum Street Northwest, Five Points, Atlanta,  Georgia, 30313"
268,33.770316,-84.39747800000001,"Plum Street Northwest, Five Points, Atlanta,  Georgia, 30313"
269,33.76972,-84.39765199999999,"Plum Street Northwest, Five Points, Atlanta,  Georgia, 30313"
270,33.76861,-84.39586,"256, Merritts Avenue Northwest, Five Points, Atlanta,  Georgia, 30313"
271,33.769714,-84.397702,"Plum Street Northwest, Five Points, Atlanta,  Georgia, 30313"
272,33.76963,-84.397712,"Plum Street Northwest, Five Points, Atlanta,  Georgia, 30313"
273,33.769303,-84.397351,"Plum Street Northwest, Five Points, Atlanta,  Georgia, 30313"
274,33.767855,-84.394277,"601, McAfee Street Northwest, Five Points, Atlanta,  Georgia, 30313"
275,33.771637,-84.391955,"Brown, 625, Techwood Drive, Atlanta,  Georgia, 30313"
276,33.778333,-84.38291,"868, Juniper Street Northeast, Atlanta,  Georgia, 30308"
277,33.781528,-84.383301,"125, 10th Street Northeast, Atlanta,  Georgia, 30309"
278,33.781238,-84.383495,"999, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
279,33.781323,-84.38342400000001,"999, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
280,33.781213,-84.383391,"999, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
281,33.781293,-84.38347,"999, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
282,33.781202,-84.38343999999999,"999, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
283,33.781343,-84.383416,"999, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
284,33.781193,-84.383511,"999, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
285,33.78117,-84.38359199999999,"999, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
286,33.781194,-84.38353600000001,"999, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
287,33.781279,-84.383775,"999, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
288,33.78124,-84.383534,"999, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
289,33.781674,-84.383743,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
290,33.781672,-84.383888,"1005, Peachtree Street Northeast, Atlanta,  Georgia, 30309"
